expression,reading,meaning,tags
現像,げんぞう,developing (film),JLPT N1
原則,げんそく,"principle, general rule",JLPT N1
見地,けんち,point of view,JLPT N1
現地,げんち,"actual place, local",JLPT N1
限定,げんてい,"limit, restriction",JLPT N1
原点,げんてん,"origin (coordinates, starting point)",JLPT N1
原典,げんてん,"original, source",JLPT N1
原爆,げんばく,atomic bomb,JLPT N1
原文,げんぶん,"the text, original",JLPT N1
厳密,げんみつ,"strict, close",JLPT N1
賢明,けんめい,"wisdom, intelligence, prudence",JLPT N1
倹約,けんやく,"thrift, economy, frugality",JLPT N1
原油,げんゆ,crude oil,JLPT N1
兼用,けんよう,"multi-use, combined use",JLPT N1
権力,けんりょく,"(political) power, authority, influence",JLPT N1
言論,げんろん,"discussion, speech",JLPT N1
故～,こ～,"deceased, late",JLPT N1
語彙,ごい,"vocabulary, glossary",JLPT N1
恋する,こいする,"to fall in love with, to love",JLPT N1
甲,こう,1st in rank; shell,JLPT N1
～光,～こう,light,JLPT N1
好意,こうい,"good will, favor, courtesy",JLPT N1
行為,こうい,"act, deed, conduct",JLPT N1
合意,ごうい,"agreement, consent, mutual understanding",JLPT N1
工学,こうがく,engineering,JLPT N1
抗議,こうぎ,"protest, objection",JLPT N1
合議,ごうぎ,"consultation, conference",JLPT N1
皇居,こうきょ,Imperial Palace,JLPT N1
好況,こうきょう,"prosperous conditions, healthy economy",JLPT N1
鉱業,こうぎょう,mining industry,JLPT N1
興業,こうぎょう,starting a business; industry,JLPT N1
高原,こうげん,"tableland, plateau",JLPT N1
交互,こうご,"mutual, reciprocal, alternate",JLPT N1
煌々と,こうこうと,brightly,JLPT N1
考古学,こうこがく,archeology,JLPT N1
工作,こうさく,"handicraft, maneuvering",JLPT N1
耕作,こうさく,"cultivation, farming",JLPT N1
鉱山,こうざん,mine,JLPT N1
講習,こうしゅう,"short course, training",JLPT N1
口述,こうじゅつ,verbal statement,JLPT N1
控除,こうじょ,"subsidy, deduction",JLPT N1
交渉,こうしょう,negotiation,JLPT N1
